"","x"
"1088_at",0.25672783603408
"1089_i_at",-0.0547415288308402
"109_at",-0.0585361429735192
"1090_f_at",-0.229069946401381
"1091_at",-0.0620069055332293
"1092_at",-0.0464800222855555
"1093_at",-0.154788416804026
"1094_g_at",-0.0395902681476961
"1095_s_at",0.138481845079925
"1096_g_at",-0.0241693686161966
"1097_s_at",0.197154567704356
"1098_at",-0.0582966002917708
"1099_s_at",0.0369545544462975
"110_at",-0.064013431138688
"1100_at",-0.126592316087365
"1101_at",-0.025505198733949
"1102_s_at",0.111478068759801
"1103_at",0.0675666608259189
"1104_s_at",0.0325699070689383
"1105_s_at",0.00393352368784505
"1106_s_at",0.264410128702347
"1107_s_at",0.137623395408038
"1108_s_at",0.12374892581986
"1109_s_at",-0.0771879456994056
"111_at",0.0340637852362038
"1110_at",0.132596754267
"1111_at",-0.0069361548464193
"1112_g_at",-0.0426352886806165
"1113_at",0.0961795865025694
"1114_at",-0.040669573903529
"1115_at",0.0929557541896562
"1116_at",-0.0600364610141446
"1117_at",-0.00562063068552465
"1118_at",0.0636715862658963
"1119_at",-0.100825822246589
"112_g_at",-0.14971386935449
"1120_at",0.0840948432148598
"1121_g_at",0.116103193928897
"1122_f_at",-0.101158440178302
"1123_at",-0.0542690934176813
"1124_at",-0.0796936212460395
"1125_s_at",0.395399668970764
"1126_s_at",0.37191145833596
"1127_at",-0.0077292566552174
"1128_s_at",0.0132909369647964
"1129_at",-0.0907709575121758
"113_i_at",-0.136214202845904
"1130_at",-0.0433209062876179
"1131_at",-0.01543303186615
"1132_s_at",0.046403590922119
"1133_at",0.0069808733226473
"1134_at",-0.0272224851842586
"1135_at",0.182050586074141
"1136_at",-0.117995369264236
"1137_at",0.256501874566987
"1138_at",-0.141346475229855
"1139_at",0.0478658232745299
"114_r_at",0.0721735455668762
"1140_at",0.0694813027693222
"1141_at",-0.105162207428692
"1142_at",-0.00109714131685612
"1143_s_at",0.218048895675282
"1144_at",0.0116860159708756
"1145_g_at",0.160886247617348
"1146_at",0.13882394191038
"1147_at",0.268335097430282
"1148_s_at",0.0976371666215434
"1149_at",0.0480953167492579
"115_at",0.201703957086117
"1150_at",0.240135434320393
"1151_at",-0.0048300080178767
"1152_i_at",0.36365270501119
"1153_f_at",-0.076867526042196
"1154_at",-0.0604048160596882
"1155_at",0.0117929220976063
"1156_at",-0.0251782333492021
"1157_s_at",0.110749489345563
"1158_s_at",-0.0165719076404085
"1159_at",0.429494594866272
"116_at",-0.0254313625764961
"1160_at",-0.0575065298589856
"1161_at",-0.0753927314276863
"1162_g_at",-0.0452355560236786
"1163_at",-0.0503170516695211
"1164_at",0.142609044525993
"1165_at",0.532758976680815
"1166_at",-0.0315112159937243
"1167_s_at",-0.0226785389316566
"1168_at",-0.0350686304845025
"1169_at",0.0478443981521672
"117_at",0.0631199388440364
"1170_at",-0.0669859536531126
"1171_s_at",-0.159457488950004
"1172_at",-0.0347240563188542
"1173_g_at",0.174116284355962
"1174_at",-0.0796675674331251
"1175_s_at",0.00284595699403623
"1176_at",-0.0608937993836682
"1177_at",0.0248620686264185
"1178_at",-0.31795363352605
"1179_at",-0.000591942631075426
"118_at",-0.15816432097211
"1180_g_at",0.001121611946997
"1181_at",-0.0529018170668853
"1182_at",0.154417571659292
"1183_at",0.138895456398239
"1184_at",0.0383067672233999
"1185_at",0.0400682250410771
"1186_at",0.375967870541345
"1187_at",-0.0270812246214676
"1188_g_at",-0.0553321680113485
"1189_at",-0.0564144340563024
"1190_at",0.0615023308323022
"1191_s_at",-0.0153705666380088
"1192_at",0.0782369805034804
"1193_at",0.011393748320736
"1194_g_at",-0.0364188536705299
"1195_s_at",0.101951875268988
"1196_at",-0.180211680395046
"1197_at",0.289321418281157
"1198_at",0.30179013900093
"1199_at",-0.0400247720285676
